#Procedure: <__main__.tempProcedure>
#Parameters:
#	Hold Time: 1 min
#	Ramp Time: 1 min
#	Sample Name: undefined
#	Save Directory: \junk
#	Set Temperature: 20 C
#Data:
global_time,temperature,heating_time
1560359466.2113492,25.3,1.2589116096496582
1560359467.5205367,25.3,1.6575348377227783
1560359467.9192019,25.3,2.060213088989258
1560359468.3219006,25.3,2.456749200820923
1560359468.7205017,25.3,2.8593997955322266
1560359469.1210792,25.3,3.2614376544952393
1560359469.5230398,25.3,3.673647880554199
1560359469.9353533,25.3,4.103747367858887
1560359470.36534,25.3,4.50364351272583
1560359470.7652676,25.3,4.903561592102051
1560359471.1651804,25.3,5.3032660484313965
1560359471.565019,25.3,5.687135696411133
1560359471.9487395,25.3,6.086889028549194
1560359472.3484743,25.3,6.486687183380127
1560359472.7481747,25.3,6.902520418167114
1560359473.1644437,25.3,7.302345037460327
1560359473.5640533,25.3,7.702146053314209
1560359473.963873,25.3,8.101922512054443
1560359474.3636897,25.3,8.501775026321411
1560359474.763463,25.3,8.885559320449829
1560359475.1471777,25.3,9.269483089447021
1560359475.5311074,25.3,9.669277906417847
1560359475.9308894,25.3,10.069113969802856
1560359476.3305914,25.3,10.468963146209717
1560359476.7304485,25.3,10.868815183639526
1560359477.1304822,25.3,11.284636735916138
1560359477.5462227,25.3,11.684471368789673
1560359477.9459782,25.3,12.084299802780151
1560359478.3458562,25.3,12.484119176864624
1560359478.7457159,25.3,12.883891820907593
1560359479.1453848,25.3,13.283622026443481
1560359479.545098,25.3,13.699583768844604
1560359479.9613864,25.3,14.099435567855835
1560359480.3612244,25.3,14.499264240264893
1560359480.761025,25.3,14.899106979370117
1560359481.1608856,25.3,15.298903703689575
1560359481.5606346,25.3,15.714780330657959
1560359481.976403,25.3,16.11457633972168
1560359482.3762276,25.3,16.51449942588806
1560359482.7763193,25.2,16.91425395011902
1560359483.1759088,25.2,17.314152717590332
1560359483.5759847,25.2,17.71393895149231
1560359483.9755645,25.2,18.146427154541016
1560359484.408097,25.2,18.545854806900024
1560359484.8075538,25.2,18.95126962661743
1560359485.212975,25.2,19.348114013671875
1560359485.609803,25.2,19.729191541671753
1560359485.9911797,25.2,20.145857334136963
1560359486.407745,25.2,20.545318603515625
1560359486.8069465,25.2,20.947599411010742
1560359487.2092268,25.2,21.34458065032959
1560359487.6063817,25.2,21.745365858078003
1560359488.0070274,25.2,22.14434027671814
1560359488.4061396,25.2,22.560120820999146
1560359488.8217688,25.2,22.945245504379272
1560359489.206954,25.2,23.344486713409424
1560359489.6061592,25.2,23.7452392578125
1560359490.0068693,25.2,24.127208709716797
1560359490.3888328,25.2,24.526883125305176
1560359490.7887073,25.2,24.926856756210327
1560359491.188487,25.2,25.32669711112976
1560359491.5883996,25.2,25.7265145778656
1560359491.9882495,25.2,26.12624478340149
1560359492.388229,25.2,26.526178121566772
1560359492.7878466,25.2,26.945411682128906
1560359493.2070441,25.2,27.345991373062134
1560359493.6076925,25.2,27.74198317527771
1560359494.0037763,25.2,28.141700267791748
1560359494.403343,25.2,28.5413498878479
1560359494.8030882,25.2,28.94149875640869
1560359495.203303,25.2,29.325006008148193
1560359495.5866642,25.2,29.72478985786438
1560359495.9864447,25.2,30.140650749206543
1560359496.402289,25.2,30.540509700775146
1560359496.8021607,25.2,30.92435646057129
1560359497.1859863,25.2,31.32413363456726
1560359497.585764,25.2,31.723976373672485
1560359497.985669,25.2,32.12363600730896
1560359498.3852632,25.2,32.523709297180176
1560359498.7855368,25.2,32.90767860412598
1560359499.169496,25.2,33.30727028846741
1560359499.568906,25.2,33.70713782310486
1560359499.968925,25.2,34.106969356536865
1560359500.3689883,25.2,34.52274513244629
1560359500.7845275,25.2,34.9225869178772
1560359501.1845746,25.2,35.32244515419006
1560359501.5840974,25.2,35.72224307060242
1560359501.983989,25.2,36.12210512161255
1560359502.3837867,25.2,36.52193593978882
1560359502.7837222,25.2,36.93776488304138
1560359503.1995301,25.2,37.33752989768982
1560359503.5992997,25.2,37.73738503456116
1560359503.999154,25.2,38.13719987869263
1560359504.3988304,25.2,38.53707432746887
1560359504.85826,25.2,39.00105857849121
1560359505.2636425,25.2,39.40092372894287
1560359505.6627529,25.2,39.78480935096741
1560359506.0463424,25.2,40.18455481529236
1560359506.4501035,25.2,40.58448123931885
1560359506.8460443,25.2,40.968186140060425
1560359507.2301722,25.2,41.38413858413696
1560359507.6462018,25.2,41.767812728881836
1560359508.0294654,25.2,42.16755390167236
1560359508.4292796,25.2,42.567392110824585
1560359508.8290663,25.2,42.967119455337524
1560359509.2287335,25.2,43.390275955200195
1560359509.654933,25.2,43.799078941345215
1560359510.0610335,25.2,44.18278741836548
1560359510.4452367,25.2,44.582799673080444
1560359510.8476062,25.2,44.982669830322266
1560359511.2463436,25.2,45.382439851760864
1560359511.6463318,25.2,45.798258781433105
1560359512.0598981,25.2,46.198018312454224
1560359512.459579,25.2,46.59792137145996
1560359512.8611386,25.2,46.98178172111511
1560359513.24939,25.2,47.3813591003418
1560359513.6431239,25.1,47.81347298622131
1560359514.0751646,25.1,48.21321988105774
1560359514.474852,25.1,48.61320924758911
1560359514.874838,25.1,48.996779918670654
1560359515.258411,25.1,49.39671277999878
1560359515.6582723,25.1,49.79644989967346
1560359516.0580058,25.1,50.212310791015625
1560359516.4741845,25.1,50.61216711997986
1560359516.8738203,25.1,51.011963844299316
1560359517.273646,25.1,51.411802768707275
1560359517.6735759,25.1,51.79560613632202
1560359518.057496,25.1,52.19550156593323
1560359518.457773,25.1,52.59539747238159
1560359518.8571131,25.1,53.011128664016724
1560359519.272769,25.1,53.39498281478882
1560359519.6600323,25.1,53.79476881027222
1560359520.0600414,25.1,54.194636821746826
1560359520.4562855,25.1,54.61042666435242
1560359520.872292,25.1,55.0102334022522
1560359521.2718344,25.1,55.41011619567871
1560359521.6717093,25.1,55.81000638008118
1560359522.071699,25.1,56.20993494987488
1560359522.4715183,25.1,56.609737396240234
1560359522.871351,25.1,56.99338221549988
1560359523.255222,25.1,57.40937566757202
1560359523.6710107,25.1,57.79318976402283
1560359524.0582538,25.1,58.1930034160614
1560359524.4566195,25.1,58.5928258895874
1560359524.8562584,25.1,58.992642879486084
1560359525.25746,25.1,59.39245867729187
1560359525.6541994,25.1,59.776105880737305
1560359526.0379095,25.1,60.192100048065186
1560359526.4537764,25.1,60.57596778869629
1560359526.8376853,25.1,60.97579789161682
1560359527.2374923,25.1,61.37565732002258
1560359527.6373796,25.1,61.775468826293945
1560359528.037219,25.1,62.175275802612305
1560359528.4369066,25.1,62.5750572681427
1560359528.8367503,25.1,62.97496199607849
1560359529.236736,25.1,63.35867953300476
1560359529.6204255,25.1,63.759504556655884
1560359530.0212467,25.1,64.15829038619995
1560359530.4199564,25.1,64.57420444488525
1560359530.835913,25.1,64.9740161895752
1560359531.2367468,25.1,65.37388038635254
1560359531.635544,25.1,65.77377033233643
1560359532.0358548,25.1,66.1734368801117
1560359532.4350874,25.1,66.57335686683655
1560359532.835135,25.1,66.98940372467041
1560359533.251653,25.1,67.389075756073
1560359533.6512356,25.1,67.78889727592468
1560359534.0521643,25.1,68.18872737884521
1560359534.4540899,25.1,68.58847904205322
1560359534.8524957,25.1,69.0043728351593
1560359535.2659733,25.1,69.4042854309082
1560359535.6658955,25.1,69.80410242080688
1560359536.065718,25.1,70.2038459777832
1560359536.465435,25.1,70.60357213020325
1560359536.8651915,25.1,71.00353670120239
1560359537.2652988,25.1,71.41944313049316
1560359537.6810617,25.1,71.81914901733398
1560359538.0807307,25.1,72.21903014183044
1560359538.4806633,25.1,72.61887955665588
1560359538.880495,25.1,73.01870775222778
1560359539.2803361,25.1,73.43478322029114
1560359539.6965997,25.1,73.83902931213379
1560359540.1010213,25.1,74.2356424331665
1560359540.4980297,25.1,74.63522124290466
1560359540.8970785,25.1,75.03591084480286
1560359541.297706,25.1,75.44116616249084
1560359541.7031732,25.1,75.86846542358398
1560359542.1304066,25.1,76.24931645393372
1560359542.5108838,25.1,76.65070104598999
1560359542.9122665,25.1,77.049147605896
1560359543.310775,25.1,77.45022535324097
1560359543.7118611,25.1,77.86657452583313
1560359544.1281838,25.1,78.26536417007446
1560359544.5270405,25.1,78.66424584388733
1560359544.9258919,25.0,79.06911849975586
1560359545.3307343,25.0,79.46397614479065
1560359545.7256496,25.0,79.86967921257019
1560359546.1313274,25.0,80.29547429084778
1560359546.557173,25.0,80.6953809261322
1560359546.9568944,25.0,81.0951042175293
1560359547.3567197,25.0,81.4950692653656
1560359547.7569876,25.0,81.87879538536072
1560359548.140638,25.0,82.29466938972473
1560359548.5562854,25.0,82.6785500049591
1560359548.9402792,25.0,83.07829856872559
1560359549.339915,25.0,83.47820711135864
1560359549.7397714,25.0,83.87781429290771
1560359550.1394017,25.0,84.27784538269043
1560359550.539431,25.0,84.69359970092773
1560359550.9552073,25.0,85.09336018562317
1560359551.355097,25.0,85.49329042434692
1560359551.7552545,25.0,85.8932831287384
1560359552.15517,25.0,86.29293274879456
1560359552.5548637,25.0,86.69285678863525
1560359552.9547267,25.0,87.07696223258972
1560359553.3385446,25.0,87.47646760940552
1560359553.7381108,25.0,87.87635540962219
1560359554.1380446,25.0,88.27610063552856
1560359554.5376668,25.0,88.67601919174194
1560359554.9377294,25.0,89.09179973602295
1560359555.3533623,25.0,89.49167132377625
1560359555.7532082,25.0,89.89147543907166
1560359556.1533694,25.0,90.29133725166321
1560359556.5530167,25.0,90.69097685813904
1560359556.9529371,25.0,91.0909194946289
1560359557.3526497,25.0,91.47655057907104
1560359557.7382228,25.0,91.87478804588318
1560359558.1364872,25.0,92.30643820762634
1560359558.5681055,25.0,92.70624852180481
1560359558.9680474,25.0,93.10610723495483
1560359559.3677871,25.0,93.52198362350464
1560359559.7836242,25.0,93.92182111740112
1560359560.1834102,25.0,94.32168483734131
1560359560.5833182,25.0,94.721440076828
1560359560.9832177,25.0,95.12132167816162
1560359561.3829901,25.0,95.52110838890076
1560359561.7827673,25.0,95.92097973823547
1560359562.1826794,25.0,96.30483317375183
1560359562.566948,25.0,96.72064089775085
1560359562.9823828,25.0,97.1045298576355
1560359563.3662424,25.0,97.50430417060852
1560359563.8188097,25.0,97.96824145317078
1560359564.229897,25.0,98.35272741317749
1560359564.6143634,25.0,98.75176882743835
1560359565.01396,25.0,99.1540596485138
1560359565.4157965,25.0,99.55148768424988
1560359565.8131237,25.0,99.951345205307
1560359566.2129853,25.0,100.33513474464417
1560359566.5967689,25.0,100.7349271774292
1560359566.9966094,25.0,101.16670227050781
1560359567.4283695,25.0,101.56670236587524
1560359567.8283732,25.0,101.96642589569092
1560359568.228176,25.0,102.36639189720154
1560359568.6280894,25.0,102.7502691745758
1560359569.0121033,25.0,103.15059995651245
1560359569.4128733,25.0,103.55298948287964
1560359569.814592,25.0,103.95011281967163
1560359570.2117152,25.0,104.35062026977539
1560359570.6122684,25.0,104.73330903053284
1560359570.994868,25.0,105.13312602043152
1560359571.394764,25.0,105.56491303443909
1560359571.826604,25.0,105.96476769447327
1560359572.2265081,25.0,106.36464595794678
1560359572.6262908,25.0,106.76438784599304
1560359573.0261056,25.0,107.16410636901855
1560359573.4258163,25.0,107.56402826309204
1560359573.825735,25.0,107.98005080223083
1560359574.281093,25.0,108.42790651321411
1560359574.6895125,25.0,108.82771039009094
1560359575.0893576,25.0,109.2274374961853
1560359575.4890745,25.0,109.62735033035278
1560359575.888988,25.0,110.04306936264038
1560359576.3047209,25.0,110.44312334060669
1560359576.7050436,25.0,110.84313035011292
1560359577.1051621,25.0,111.24258518218994
1560359577.5045667,25.0,111.64256882667542
