#Procedure: <__main__.tempProcedure>
#Parameters:
#	Measurement Delay: 0.05 s
#	Measurement Duration: 600 s
#	Ramp Rate: 500
#	Sample Name: undefined
#	Save Directory: \junk
#	Set Temperature: 20 C
#Data:
datetime,temperature,heating_time
1560352583.2614233,43.0,0.856945276260376
1560352584.1688643,43.0,1.2567524909973145
1560352584.5686917,44.0,1.6405670642852783
1560352584.9523835,44.0,2.040473699569702
1560352585.3522737,44.0,2.440232515335083
1560352585.7524745,44.1,2.8400661945343018
1560352586.1519787,44.1,3.2718470096588135
1560352586.583808,44.1,3.6716644763946533
1560352586.9836857,43.7,4.071548700332642
1560352587.3835716,43.7,4.471225738525391
1560352587.7832575,43.4,4.887120246887207
1560352588.1992106,43.4,5.270933151245117
1560352588.5828178,43.4,5.670803070068359
1560352588.9827487,43.1,6.054583549499512
1560352589.3664827,43.1,6.454460144042969
1560352589.766617,43.1,6.854242563247681
1560352590.1662629,42.9,7.254147529602051
1560352590.5661132,42.9,7.65386176109314
1560352590.9657223,42.9,8.05371356010437
1560352591.3657105,42.6,8.437425136566162
1560352591.7493532,42.6,8.837448358535767
1560352592.1494968,42.6,9.237316846847534
1560352592.5491858,42.4,9.637112379074097
1560352592.9492798,42.4,10.036957025527954
1560352593.34871,42.1,10.452750444412231
1560352593.764622,42.1,10.836626768112183
1560352594.1484613,42.1,11.236422061920166
1560352594.5483124,41.9,11.62100100517273
1560352594.932922,41.9,12.02238655090332
1560352595.3341467,41.9,12.420161962509155
1560352595.7320497,41.7,12.835742235183716
1560352596.147667,41.7,13.23539662361145
1560352596.5471919,41.7,13.635369062423706
1560352596.9478493,41.5,14.035153865814209
1560352597.3473272,41.5,14.43505072593689
1560352597.7469606,41.3,14.850848197937012
1560352598.163107,41.3,15.234606266021729
1560352598.546497,41.3,15.634469270706177
1560352598.9463818,41.1,16.034351348876953
1560352599.3484547,41.1,16.434184551239014
1560352599.7462137,41.1,16.818291187286377
1560352600.1300929,40.9,17.233800172805786
1560352600.5456748,40.9,17.623090982437134
1560352600.9350681,40.9,18.01932716369629
1560352601.3319705,40.8,18.41998291015625
1560352601.732025,40.8,18.81844711303711
1560352602.1302435,40.8,19.218019008636475
1560352602.5299,40.6,19.61684226989746
1560352602.9297771,40.6,20.002397775650024
1560352603.3141599,40.5,20.41645336151123
1560352603.7285311,40.5,20.801565170288086
1560352604.1133041,40.5,21.200284242630005
1560352604.512329,40.5,21.600168704986572
1560352604.9122071,40.3,22.000039100646973
1560352605.3127246,40.3,22.38437843322754
1560352605.6966598,40.1,22.79978585243225
1560352606.1117604,40.1,23.18526601791382
1560352606.4972718,40.1,23.584011793136597
1560352606.8958023,40.0,23.988261222839355
1560352607.3008413,40.0,24.384941816329956
1560352607.6971455,39.9,24.81852626800537
1560352608.130344,39.9,25.221147298812866
1560352608.5329633,39.9,25.614532470703125
1560352608.9262986,39.9,25.99897074699402
1560352609.3109596,39.7,26.398340225219727
1560352609.7103777,39.7,26.79810643196106
1560352610.1101155,39.6,27.214406728744507
1560352610.5264444,39.6,27.597965955734253
1560352610.9097943,39.6,27.997472047805786
1560352611.3095043,39.5,28.38128685951233
1560352611.693181,39.5,28.78151822090149
1560352612.0935261,39.5,29.181092739105225
1560352612.4930475,39.4,29.580707788467407
1560352612.893004,39.4,30.013598203659058
1560352613.3254104,39.4,30.417643547058105
1560352613.729458,39.3,30.813259840011597
1560352614.1251462,39.3,31.21985411643982
1560352614.5316465,39.2,31.627753019332886
1560352614.9396772,39.2,32.02745318412781
1560352615.3393037,39.2,32.42746686935425
1560352615.7393773,39.1,32.827215909957886
1560352616.139113,39.1,33.22708797454834
1560352616.5392258,39.1,33.62816023826599
1560352616.9399989,39.0,34.02664613723755
1560352617.3385289,39.0,34.44252967834473
1560352617.7545872,39.0,34.827025175094604
1560352618.1388533,38.8,35.22629356384277
1560352618.5913358,38.8,35.67406630516052
1560352618.9859753,38.7,36.089733362197876
1560352619.4019556,38.7,36.489611864089966
1560352619.8017209,38.7,36.889442682266235
1560352620.2013626,38.6,37.27326059341431
1560352620.5851815,38.6,37.67304039001465
1560352620.985249,38.6,38.07291078567505
1560352621.384715,38.6,38.45685625076294
1560352621.7687097,38.6,38.87258195877075
1560352622.1845117,38.6,39.27231454849243
1560352622.5842457,38.4,39.67228388786316
1560352622.9841647,38.4,40.07302951812744
1560352623.384849,38.4,40.47196173667908
1560352623.7838237,38.3,40.87177872657776
1560352624.1837583,38.3,41.27154064178467
1560352624.5947764,38.3,41.79929065704346
