#Procedure: <__main__.tempProcedure>
#Parameters:
#	Hold Time: 1 min
#	Ramp Time: 2 min
#	Sample Name: undefined
#	Save Directory: \junk
#	Set Temperature: 50 C
#Data:
global_time,temperature,heating_time
1560380267.1001794,24.1,0.5013813972473145
1560380267.6533794,24.1,1.054295301437378
1560380268.204697,26.6,1.6059823036193848
1560380268.756423,26.6,2.1576240062713623
1560380269.3080127,29.4,2.7092034816741943
1560380269.8595757,29.4,3.2607696056365967
1560380270.411242,30.5,3.8124794960021973
1560380270.9630237,30.5,4.3642566204071045
1560380271.5146203,30.9,4.9158408641815186
1560380272.0661578,30.9,5.4673850536346436
1560380272.617816,31.2,6.019021511077881
1560380273.1694741,31.2,6.570580244064331
1560380273.7209215,31.4,7.12214207649231
1560380274.2724614,31.4,7.673700571060181
1560380274.8241758,31.6,8.225404500961304
1560380275.3758519,31.6,8.777255296707153
1560380275.9275315,31.8,9.32874059677124
1560380276.4790723,31.8,9.880313634872437
1560380277.030754,31.9,10.431750059127808
1560380277.5822957,31.9,10.983590602874756
1560380278.1339586,32.1,11.535162925720215
1560380278.685485,32.1,12.086730718612671
1560380279.2371922,32.2,12.6386559009552
1560380279.7890763,32.2,13.190476894378662
1560380280.3407686,32.4,13.741904735565186
1560380280.8926637,32.4,14.29419207572937
1560380281.4463358,32.5,14.847845315933228
1560380281.9982126,32.5,15.399362802505493
1560380282.5497136,32.6,15.951056241989136
1560380283.1013708,32.6,16.502788543701172
1560380283.653197,32.8,17.054551601409912
1560380284.2049887,32.8,17.60603141784668
1560380284.756493,32.9,18.157801151275635
1560380285.3081844,32.9,18.709447383880615
1560380285.859848,33.0,19.261434078216553
1560380286.4118564,33.0,19.812698125839233
1560380286.963258,33.1,20.364585638046265
1560380287.5149586,33.1,20.916189432144165
1560380288.06655,33.2,21.467812538146973
1560380288.6182487,33.2,22.019363403320312
1560380289.1697288,33.4,22.571032524108887
1560380289.7213755,33.4,23.122628450393677
1560380290.2729454,33.5,23.675018787384033
1560380290.8258,33.5,24.226823568344116
1560380291.3773289,33.6,24.77862811088562
1560380291.9290364,33.6,25.330012321472168
1560380292.4803116,33.8,25.881566524505615
1560380293.0320122,33.8,26.433329105377197
1560380293.5837877,33.9,26.985108613967896
1560380294.1354687,33.9,27.53670644760132
1560380294.687025,34.0,28.088545083999634
1560380295.2390761,34.0,28.640275239944458
1560380295.7907848,34.2,29.192035675048828
1560380296.342473,34.2,29.747533321380615
1560380296.8979704,34.3,30.29926347732544
1560380297.4500763,34.3,30.85104751586914
1560380298.001465,34.5,31.40269684791565
1560380298.5531554,34.5,31.954082250595093
1560380299.1044455,34.6,32.50569272041321
1560380299.6561172,34.6,33.057493686676025
1560380300.2079396,34.7,33.60936141014099
1560380300.7598617,34.7,34.161301136016846
1560380301.3117778,34.9,34.712831258773804
1560380301.8631456,34.9,35.26437544822693
1560380302.4149146,35.0,35.81628632545471
1560380302.9666638,35.0,36.36771869659424
1560380303.5180628,35.2,36.91914081573486
1560380304.0694463,35.2,37.47074484825134
1560380304.6215296,35.3,38.02256107330322
1560380305.1730256,35.3,38.574304819107056
1560380305.7246704,35.5,39.12591791152954
1560380306.2762225,35.5,39.67760705947876
1560380306.8280177,35.6,40.229294776916504
1560380307.3797374,35.6,40.78098464012146
1560380307.9315872,35.8,41.33290147781372
1560380308.4832783,35.8,41.884512424468994
1560380309.0350096,35.9,42.43602681159973
1560380309.5864952,35.9,42.98778319358826
1560380310.13815,36.1,43.53941011428833
1560380310.6897278,36.1,44.09123182296753
1560380311.2416904,36.3,44.64268398284912
1560380311.7931788,36.3,45.1944260597229
1560380312.3447967,36.4,45.747230529785156
1560380312.8976197,36.4,46.299152851104736
1560380313.4495926,36.6,46.851235151290894
1560380314.0017414,36.6,47.40269994735718
1560380314.5529752,36.8,47.954262495040894
1560380315.1045315,36.8,48.505813121795654
1560380315.6562033,36.9,49.05782175064087
1560380316.2082417,36.9,49.60935735702515
