#Procedure: <__main__.tempProcedure>
#Parameters:
#	Hold Time: 1 min
#	Ramp Time: 1 min
#	Sample Name: undefined
#	Save Directory: \junk
#	Set Temperature: 20 C
#Data:
global_time,temperature,heating_time
1560370743.267785,40.3,0.5013000965118408
1560370743.8193803,40.1,1.052734613418579
1560370744.3707466,40.1,1.6043274402618408
1560370744.9223812,40.2,2.156034469604492
1560370745.4740398,40.3,2.707712411880493
1560370746.0259466,40.3,3.259385824203491
1560370746.5773609,40.3,3.8109772205352783
1560370747.1289618,40.3,4.362562656402588
1560370747.6805518,40.3,4.91417121887207
1560370748.2322133,40.3,5.465588092803955
1560370748.7836494,40.3,6.0171098709106445
1560370749.3351624,40.2,6.568606376647949
1560370749.8866327,40.2,7.120227813720703
1560370750.4383163,40.1,7.671949863433838
1560370750.9900653,40.1,8.22367787361145
1560370751.5416565,39.9,8.782493114471436
1560370752.100574,39.9,9.334174633026123
1560370752.6548736,39.7,9.888455629348755
1560370753.2072673,39.7,10.440659523010254
1560370753.7588923,39.6,10.992323875427246
1560370754.310433,39.6,11.544102668762207
1560370754.8622265,39.4,12.095635175704956
1560370755.4136312,39.4,12.647296905517578
1560370755.965398,39.2,13.199021577835083
1560370756.517101,39.2,13.751234531402588
1560370757.0692296,39.0,14.302797317504883
1560370757.6208766,39.0,14.854334115982056
1560370758.1724494,38.8,15.406052112579346
1560370758.724056,38.8,15.957703828811646
1560370759.275689,38.7,16.5092875957489
1560370759.827263,38.7,17.060755014419556
1560370760.3788977,30.9,17.612628698349
1560370760.9306102,30.9,18.164181232452393
1560370761.4821746,38.3,18.71588635444641
1560370762.0340238,38.3,19.26789116859436
1560370762.5860631,38.1,19.81939697265625
1560370763.1374147,38.1,20.37105393409729
1560370763.6890743,37.9,20.92271065711975
1560370764.2407582,37.9,21.626456260681152
