#Procedure: <__main__.tempProcedure>
#Parameters:
#	Measurement Delay: 0.5 s
#	Measurement Duration: 600 s
#	Sample Name: undefined
#	Save Directory: .\junk
#	Set Ramp Rate: 500
#	Set Temperature: 20 C
#Data:
datetime,temperature,heating_time
1560352217.3811355,29.6,0.8398013114929199
1560352218.7215765,29.6,1.7034170627593994
1560352219.5852249,29.6,2.550934076309204
1560352220.4328518,29.6,3.3986945152282715
1560352221.2803996,29.6,4.2783074378967285
1560352222.1601324,29.6,5.125874042510986
1560352223.0076919,29.5,6.006572961807251
1560352223.8884244,29.5,6.8532469272613525
1560352224.7350867,29.5,7.73258113861084
1560352225.6143434,29.5,8.58299994468689
1560352226.4647348,29.5,9.429612636566162
1560352227.3113306,29.5,10.291792154312134
1560352228.1736028,29.4,11.139172554016113
1560352229.0209625,29.4,11.986823320388794
1560352229.868602,29.4,12.818565130233765
1560352230.7002037,29.4,13.650276899337769
1560352231.5320451,29.4,14.481707572937012
1560352232.363441,29.4,15.329371929168701
1560352233.2111578,29.4,16.176986932754517
1560352234.0590136,29.4,17.024816036224365
