#Procedure: <__main__.tempProcedure>
#Parameters:
#	Measurement Delay: 0.5 s
#	Measurement Duration: 600 s
#	Sample Name: undefined
#	Save Directory: .\junk
#	Set Temperature: 40 C
#Data:
t,temperature
0.00011181831359863281,27.9
1.155191421508789,27.8
2.003119945526123,30.3
2.8669559955596924,32.5
3.730358123779297,32.5
4.577939987182617,33.3
5.425783634185791,33.6
6.2891435623168945,33.9
7.138095378875732,33.9
8.000335454940796,34.1
8.848171949386597,34.3
9.711740255355835,34.5
10.559369087219238,34.6
11.423250198364258,34.6
12.270351648330688,34.8
13.134285688400269,34.9
13.982100248336792,35.0
14.84559416770935,35.1
15.709267616271973,35.1
16.556817054748535,35.2
17.404625177383423,35.3
18.26815891265869,35.3
19.131815910339355,35.3
19.979649543762207,35.4
20.843170881271362,35.5
21.674785375595093,35.6
22.539259672164917,35.6
23.38621759414673,35.6
24.233864068984985,35.7
25.08126139640808,35.8
25.92906427383423,35.8
26.760301113128662,35.8
27.59248423576355,35.9
28.440335273742676,35.9
29.287641048431396,35.9
30.137285232543945,36.0
30.98301100730896,36.1
31.83051896095276,36.1
32.678181409835815,36.2
33.5259313583374,36.2
34.373586654663086,36.2
35.22118330001831,36.3
36.0687530040741,36.3
36.91637873649597,36.4
37.7960901260376,36.4
38.64362287521362,36.5
39.475646018981934,36.5
40.30696487426758,36.6
41.170342683792114,36.6
42.01830768585205,36.6
42.897825956344604,36.7
43.746604681015015,36.7
44.60930776596069,36.7
45.45908284187317,36.8
46.320451498031616,36.8
47.167972803115845,36.9
48.01580810546875,36.9
48.865273237228394,36.9
49.71088933944702,37.0
50.55868577957153,37.0
51.422393560409546,37.0
52.27008008956909,37.1
53.13335037231445,37.1
53.981390953063965,37.2
54.82913422584534,37.2
55.6928973197937,37.2
56.540732860565186,37.3
57.40367841720581,37.3
58.2516884803772,37.4
59.09918761253357,37.4
59.962663888931274,37.4
60.810269832611084,37.5
61.673696517944336,37.5
62.521636724472046,37.6
63.36939811706543,37.6
64.20132756233215,37.6
65.0489935874939,37.7
65.89627194404602,37.7
66.74376606941223,37.7
67.57568168640137,37.7
68.40698599815369,37.8
69.25503087043762,37.8
70.10244345664978,37.8
70.95084309577942,37.9
71.79772639274597,37.9
72.64530396461487,38.0
73.49293494224548,38.0
74.34033799171448,38.0
75.18839168548584,38.0
76.0387704372406,38.1
76.89944386482239,38.1
77.7498152256012,38.1
78.59490847587585,38.1
79.4265124797821,38.2
80.27394032478333,38.2
81.12175250053406,38.3
82.00135684013367,38.3
82.8489739894867,38.3
83.69653797149658,38.3
84.5282633304596,38.4
85.37597966194153,38.4
86.22362780570984,38.4
87.10347247123718,38.5
87.9526002407074,38.5
88.7985770702362,38.5
89.63023567199707,38.5
90.46171998977661,38.6
91.30929398536682,38.6
92.15689706802368,38.6
93.00477170944214,38.6
93.83822703361511,38.7
94.68384599685669,38.7
95.53170371055603,38.7
96.37937474250793,38.7
97.21104693412781,38.8
98.05946850776672,38.8
98.90614485740662,38.8
99.75365924835205,38.8
100.58559131622314,38.9
101.43317604064941,38.9
102.28083109855652,38.9
103.12832069396973,39.0
104.00813698768616,39.0
104.86553049087524,39.0
105.71922969818115,39.0
106.56698966026306,39.1
107.41455626487732,39.1
108.26428937911987,39.1
109.12607145309448,39.1
109.97362875938416,39.2
110.82137680053711,39.2
111.66922569274902,39.2
112.51647663116455,39.2
113.3945062160492,39.3
114.2443335056305,39.3
115.10700917243958,39.3
115.95490741729736,39.3
116.80277371406555,39.3
117.66632843017578,39.4
118.54672598838806,39.4
119.39352560043335,39.4
120.24166512489319,39.4
121.0888261795044,39.5
121.93779611587524,39.5
122.78427362442017,39.5
123.63171410560608,39.5
124.49518084526062,39.6
125.34308791160583,39.6
126.1907742023468,39.6
127.03869581222534,39.6
127.88583302497864,39.6
128.7332398891449,39.6
129.58144521713257,39.7
130.4450237751007,39.7
131.29263401031494,39.7
132.1569118499756,39.7
133.00367712974548,39.7
133.8669457435608,39.7
134.69916987419128,39.7
135.56263542175293,39.8
136.41033244132996,39.8
137.24359965324402,39.8
138.0736904144287,39.8
138.90541577339172,39.8
139.74237442016602,39.8
140.61692571640015,39.8
141.46461844444275,39.8
142.29612159729004,39.8
143.12775659561157,39.9
143.9757788181305,39.9
144.82327795028687,39.9
145.67077732086182,39.9
146.50232887268066,39.9
147.33363819122314,39.9
148.19783926010132,39.9
149.0459680557251,39.9
149.89298629760742,39.9
150.72465205192566,40.0
151.57272005081177,40.0
152.4383738040924,40.0
153.29970932006836,40.0
154.1477324962616,40.0
154.99506616592407,40.0
155.87451887130737,40.0
156.72223258018494,40.0
157.6019594669342,40.1
158.4495747089386,40.1
159.29718208312988,40.1
160.1287944316864,40.1
160.96029496192932,40.1
161.80828046798706,40.1
162.66155362129211,40.1
163.50353813171387,40.1
164.35250520706177,40.1
165.1828784942627,40.1
166.01455235481262,40.1
166.86202883720398,40.1
167.7096471786499,40.1
168.5573217868805,40.2
169.3893780708313,40.2
170.22106432914734,40.2
171.06847095489502,40.2
171.91600632667542,40.2
172.76386785507202,40.2
173.6111900806427,40.2
174.47494792938232,40.2
175.3227186203003,40.3
176.15425491333008,40.3
176.9860508441925,40.3
177.849622964859,40.3
178.69707131385803,40.3
179.57694244384766,40.3
180.42460870742798,40.3
181.28819465637207,40.3
182.1381425857544,40.3
182.98347282409668,40.3
183.8312864303589,40.3
184.6785705089569,40.3
185.52617979049683,40.3
186.3736605644226,40.3
187.22210025787354,40.4
188.08522486686707,40.4
188.93286991119385,40.4
189.78031992912292,40.4
190.6442790031433,40.4
191.4916398525238,40.4
192.33982062339783,40.4
193.20321536064148,40.4
194.0504846572876,40.4
194.89832043647766,40.4
195.7472174167633,40.4
196.60987448692322,40.4
197.4594440460205,40.4
198.30502319335938,40.4
199.1687207221985,40.4
