#Procedure: <__main__.tempProcedure>
#Parameters:
#	Measurement Delay: 0.5 s
#	Measurement Duration: 600 s
#	Sample Name: undefined
#	Save Directory: .\junk
#	Set Temperature: 20 C
#Data:
datetime,temperature,heating_time
1560351147.020082,24.3,0.6412041187286377
1560351148.1621602,24.3,1.4726731777191162
1560351148.993577,24.3,2.304354190826416
1560351149.8255074,24.3,3.1681714057922363
1560351150.688891,24.3,4.016026258468628
1560351151.536926,24.3,4.863319635391235
1560351152.3840752,24.3,5.694938898086548
1560351153.2158408,24.3,6.558766603469849
1560351154.079593,24.3,7.406498670578003
1560351154.9273846,24.3,8.28585934638977
1560351155.8067467,24.3,9.136729955673218
1560351156.6576703,24.3,9.98145055770874
1560351157.5022416,24.3,10.847762823104858
1560351158.3686843,24.3,11.692531824111938
1560351159.2134144,24.3,12.540597677230835
1560351160.0614707,24.3,13.388075828552246
1560351160.9088435,24.3,14.235607624053955
1560351161.7565484,24.3,15.083209037780762
1560351162.6041005,24.3,15.930895805358887
1560351163.4518092,24.3,16.778773069381714
1560351164.299623,24.3,17.627821922302246
1560351165.1488736,24.2,18.47392439842224
1560351165.994877,24.3,19.33755588531494
1560351166.8584628,24.3,20.18521809577942
1560351167.706046,24.3,21.033353328704834
1560351168.554323,24.3,21.896336317062378
1560351169.4173622,24.3,22.744033575057983
1560351170.2648485,24.3,23.591792821884155
