#Procedure: <__main__.tempProcedure>
#Parameters:
#	Measurement Delay: 0.05 s
#	Measurement Duration: 30 s
#	Ramp Rate: 999
#	Sample Name: ramp_rate
#	Save Directory: \calib
#	Set Temperature: 30 C
#Data:
datetime,temperature,heating_time
1560354305.6313095,29.8,0.7406129837036133
1560354306.4222856,29.8,1.1565799713134766
1560354306.838425,29.8,1.5564827919006348
1560354307.238894,29.8,1.9563329219818115
1560354307.63834,29.8,2.3562204837799072
1560354308.0380232,29.7,2.7399260997772217
1560354308.422506,29.7,3.139625072479248
1560354308.8213398,29.7,3.5717010498046875
1560354309.2533863,29.7,3.9714643955230713
1560354309.6531315,29.7,4.371258974075317
1560354310.0530117,29.7,4.771120548248291
1560354310.4528968,29.7,5.154919624328613
1560354310.8366473,29.7,5.570612192153931
1560354311.2522376,29.7,5.954545021057129
1560354311.6362023,29.7,6.354403018951416
1560354312.036114,29.7,6.754307985305786
1560354312.4359944,29.6,7.155293703079224
1560354312.8370929,29.6,7.553858280181885
1560354313.2356384,29.6,7.969750881195068
1560354313.6515946,29.6,8.353545427322388
1560354314.0352411,29.6,8.753423929214478
1560354314.4351451,29.6,9.153291463851929
1560354314.834968,29.6,9.536972999572754
1560354315.2187948,29.6,9.936736106872559
1560354315.6183705,29.6,10.336594581604004
1560354316.0184283,29.6,10.752609491348267
1560354316.434392,29.6,11.13626503944397
1560354316.8179307,29.6,11.536052465438843
1560354317.2178934,29.6,11.93592381477356
1560354317.6176867,29.5,12.351831912994385
1560354318.0336976,29.5,12.735517501831055
1560354318.4176342,29.5,13.13537883758545
1560354318.8170834,29.5,13.535343647003174
1560354319.2170126,29.5,13.935002326965332
1560354319.61668,29.5,14.334872961044312
1560354320.016895,29.5,14.718700885772705
1560354320.4003878,29.5,15.134532451629639
1560354320.8162591,29.5,15.518370866775513
1560354321.2000623,29.5,15.918190717697144
1560354321.5999146,29.5,16.318041563034058
1560354321.999736,29.5,16.717833757400513
1560354322.3994853,29.5,17.118597984313965
1560354322.8003936,29.5,17.50155758857727
1560354323.1833074,29.5,17.917412519454956
1560354323.599373,29.5,18.30123233795166
1560354323.9829435,29.5,18.70101261138916
1560354324.3826628,29.4,19.084977388381958
1560354324.7667189,29.4,19.484678268432617
1560354325.166446,29.4,19.884557962417603
1560354325.566168,29.4,20.300397157669067
1560354325.982116,29.4,20.700241565704346
1560354326.3818789,29.4,21.1007981300354
1560354326.782763,29.4,21.499871730804443
1560354327.1814716,29.4,21.899712800979614
1560354327.58139,29.4,22.315507888793945
1560354327.9972103,29.4,22.71545958518982
1560354328.397198,29.4,23.115238666534424
1560354328.7972345,29.4,23.49909806251526
1560354329.180767,29.4,23.89896297454834
1560354329.5805583,29.4,24.282760858535767
1560354329.9643505,29.3,24.698552131652832
1560354330.380691,29.3,25.082402229309082
1560354330.7642276,29.3,25.482202768325806
1560354331.1639395,29.3,25.882115364074707
1560354331.5638666,29.3,26.28191614151001
1560354331.9637184,29.3,26.681853771209717
1560354332.3636787,29.3,27.065646409988403
1560354332.7472792,29.3,27.46539545059204
1560354333.147145,29.3,27.86524796485901
1560354333.5468938,29.3,28.265063285827637
1560354333.9467564,29.3,28.649011850357056
1560354334.3305135,29.3,29.032939910888672
1560354334.7144449,29.3,29.43688201904297
1560354335.1184745,29.3,29.83668065071106
1560354335.5186143,29.3,30.236023902893066
